artist_name,number_of_appearances,brand_id
Counting Crows,74,2
Central Cee,73,2
Weezer,73,2
Florida Georgia Line,73,2
Hanson,73,2
Bill Medley,73,2
GoonRock,73,2
Pink Floyd,73,2
Stevie Nicks,73,2
Kiki Dee,73,2
Foster The People,73,2
MARINA,73,2
Shaboozey,73,2
Far East Movement,73,2
Nat King Cole,73,2
Metallica,73,2
Digital Farm Animals,72,2
Candi Staton,72,2
CeeLo Green,72,2
Dimitri Vegas & Like Mike,72,2
Armin van Buuren,72,2
Fuse ODG,72,2
ROSALÍA,72,2
Jay Sean,72,2
Salt-N-Pepa,72,2
Steve Mac,72,2
cassö,72,2
Bob Sinclar,72,2
Migos,72,2
Glee Cast,72,2
Freya Ridings,71,2
Mufasa & Hypeman,71,2
Mufasa,71,2
Dopamine,71,2
Rik Rok,71,2
Tory Lanez,71,2
Rachel Platten,71,2
Shakin' Stevens,71,2
Jennifer Hudson,71,2
FISHER,71,2
Lykke Li,71,2
Fetty Wap,71,2
Gloria Gaynor,71,2
Mimi Webb,71,2
Marc Anthony,71,2
D.O.D,70,2
Pet Shop Boys,70,2
B*Witched,70,2
A Great Big World,70,2
Simple Minds,70,2
Eric Prydz,70,2
Chris Rea,70,2
WILLOW,70,2
The All-American Rejects,70,2
The Smiths,70,2
Conor Maynard,69,2
Jack Johnson,69,2
Brandy,69,2
Jamiroquai,69,2
Coi Leray,69,2
Foreigner,69,2
Busted,69,2
DEV,69,2
HAIM,69,2
Crystal Waters,69,2
Tom Jones,69,2
Lil Baby,68,2
Jadakiss,68,2
YUNGBLUD,68,2
Luther Vandross,68,2
Duffy,68,2
Lynyrd Skynyrd,68,2
Roy Orbison,68,2
Faithless,68,2
Corinne Bailey Rae,68,2
Disturbed,67,2
Coolio,67,2
Soulja Boy,67,2
Sigrid,67,2
Jessie Ware,67,2
Jordin Sparks,67,2
Tame Impala,67,2
Irene Cara,67,2
Elley Duhé,67,2
LF SYSTEM,67,2
Skepta,67,2
Gym Class Heroes,67,2
Ina Wroldsen,67,2
Loud Luxury,67,2
The Fratellis,67,2
,66,2
Thomas Bangalter,66,2
BANNERS,66,2
Whigfield,66,2
Moby,66,2
Darude,66,2
Los Del Rio,66,2
Skylar Grey,66,2
Simon & Garfunkel,66,2
Belters Only,66,2
Katy B,66,2
Myles Smith,66,2
Jawsh 685,66,2
Eliza Rose,66,2
Anna Kendrick,66,2
Andy Grammer,66,2
Jhené Aiko,66,2
New Order,66,2
Martin Jensen,65,2
Leon Bridges,65,2
Matoma,65,2
112,65,2
Kenny Rogers,65,2
Creedence Clearwater Revival,65,2
Offset,65,2
J. Cole,65,2
Iyaz,65,2
Atomic Kitten,65,2
Daniel Caesar,65,2
Colbie Caillat,65,2
Roddy Ricch,64,2
Frankie Valli & The Four Seasons,64,2
HUGEL,64,2
Sash!,64,2
Andy Williams,64,2
Sum 41,64,2
Molella,64,2
H.E.R.,64,2
Cat Burns,64,2
Dove Cameron,64,2
Franz Ferdinand,64,2
JoJo,64,2
JP Saxe,64,2
L.V.,63,2
Mario,63,2
Stephen Sanchez,63,2
Band Aid,63,2
Lennon Stella,63,2
Ronan Keating,63,2
Eric Clapton,63,2
The Jacksons,63,2
beabadoobee,63,2
Madness,63,2
Tainy,62,2
The Neighbourhood,62,2
Faith Evans,62,2
Cheryl,62,2
Talking Heads,62,2
House Of Pain,62,2
Latto,62,2
Cookin' On 3 Burners,62,2
Basement Jaxx,62,2
Lady A,62,2
Lauren Bennett,62,2
Amanda Seyfried,62,2
Gnarls Barkley,61,2
Pretenders,61,2
The Strokes,61,2
Rick Ross,61,2
The Bangles,61,2
Two Door Cinema Club,61,2
The Saturdays,61,2
ACRAZE,61,2
La Bouche,61,2
Pentatonix,61,2
A Boogie Wit da Hoodie,61,2
Interplanetary Criminal,61,2
Phil Jay,61,2
Queen Pen,61,2
Cassie,61,2
Do,61,2
The Temper Trap,61,2
Brando,61,2
John Williams,61,2
INNA,61,2
XXXTENTACION,60,2
ROSÉ,60,2
Styles P,60,2
Santana,60,2
Savage Garden,60,2
The Supremes,60,2
Cher Lloyd,60,2
KT Tunstall,60,2
Blue,60,2
Sam Fischer,60,2
Mikky Ekko,60,2
DJ Sammy,60,2
Yanou,60,2
Travie McCoy,60,2
Ice Spice,60,2
The Darkness,60,2
The Prodigy,60,2
Tion Wayne,59,2
James TW,59,2
Bring Me The Horizon,59,2
Plan B,59,2
Toni Braxton,59,2
Cian Ducrot,59,2
Loreen,59,2
Four Tops,59,2
Bob Dylan,59,2
Blake Shelton,59,2
Gorgon City,59,2
CHVRCHES,59,2
Lenny Kravitz,59,2
Sinéad O'Connor,59,2
NEIKED,59,2
Gunna,59,2
KC & The Sunshine Band,59,2
The Cardigans,59,2
Auli'i Cravalho,59,2
iann dior,59,2
Eliza Doolittle,58,2
Blu Cantrell,58,2
D.O.E.,58,2
Meat Loaf,58,2
Basshunter,58,2
Chuck Berry,58,2
Karen Harding,58,2
Lucenzo,58,2
Kaiser Chiefs,58,2
Seal,58,2
Fedde Le Grand,58,2
Yoko Ono,58,2
Shouse,58,2
The Wombats,58,2
Dimitri Vegas,58,2
070 Shake,58,2
Pop Smoke,58,2
Daniel Powter,58,2
John Ryan,57,2
Michelle Williams,57,2
Wilkinson,57,2
Olivia O'Brien,57,2
Men At Work,57,2
Etta James,57,2
Johnny Cash,57,2
Steve Angello,57,2
Bing Crosby,57,2
J Hus,57,2
Phoebe Bridgers,57,2
Kevin Lyttle,57,2
NATTI NATASHA,57,2
Ol' Dirty Bastard,57,2
Mandy Moore,57,2
Eric Carmen,57,2
Olivia,56,2
Enya,56,2
The B-52's,56,2
CHIC,56,2
Ben E. King,56,2
Kali Uchis,56,2
Dynoro,56,2
Led Zeppelin,56,2
Yxng Bane,56,2
Sub Focus,56,2
Fatman Scoop,56,2
Tiffany,56,2
Artemas,56,2
Zach Bryan,56,2
220 KID,56,2
Stromae,56,2
Hayley Williams,56,2
Cherish,56,2
Elle King,56,2
Au/Ra,56,2
M83,56,2
Vampire Weekend,56,2
JVKE,56,2
Dusty Springfield,56,2
London Grammar,55,2
Griff,55,2
The Game,55,2
The Blessed Madonna,55,2
Yeah Yeah Yeahs,55,2
Ultrabeat,55,2
Rednex,55,2
Gente De Zona,55,2
Nena,55,2
Mark Morrison,55,2
Melanie C,55,2
N-Dubz,55,2
Crowded House,55,2
Erasure,55,2
Mr Eazi,54,2
Paul Russell,54,2
Ben Howard,54,2
Pras,54,2
Simply Red,54,2
Kim Wilde,54,2
The Mamas & The Papas,54,2
Sarah McLachlan,54,2
JLS,54,2
Good Charlotte,54,2
The Cataracs,54,2
Laidback Luke,54,2
Foals,54,2
Lil Uzi Vert,54,2
Meryl Streep,54,2
The Monkees,54,2
Billy Idol,54,2
Cedric Gervais,54,2
Sheryl Crow,54,2
Shift K3Y,54,2
KISS,54,2
DJ Jazzy Jeff & The Fresh Prince,54,2
Freshlyground,54,2
Tyla,54,2
Oliver Tree,53,2
Thirty Seconds To Mars,53,2
CYRIL,53,2
Wizzard,53,2
Frankie Goes To Hollywood,53,2
Jamelia,53,2
MC Hammer,53,2
Hoobastank,53,2
Pearl Jam,53,2
Loren Allred,53,2
Soft Cell,53,2
Rauw Alejandro,53,2
Norah Jones,53,2
Ofenbach,53,2
Nathan Evans,53,2
Cash Cash,53,2
Snow,53,2
MAGIC!,53,2
Alphaville,53,2
PnB Rock,53,2
Ashe,53,2
Mac Miller,53,2
The Chemical Brothers,52,2
The Calling,52,2
Don Diablo,52,2
Faith Hill,52,2
Daniel Bedingfield,52,2
Anuel AA,52,2
Rizzle Kicks,52,2
Peggy Gou,52,2
Mustard,52,2
High School Musical Cast,52,2
Edward Maya,52,2
Jimmy Eat World,52,2
Jet,52,2
Playboi Carti,51,2
Alec Benjamin,51,2
Gryffin,51,2
Louis Tomlinson,51,2
TINI,51,2
Snakehips,51,2
Flume,51,2
Dan + Shay,51,2
INXS,51,2
The Who,51,2
Deep Blue Something,51,2
John Denver,51,2
Jaymes Young,51,2
Simple Plan,51,2
Klaas,51,2
Silk Sonic,51,2
Gerry Cinnamon,51,2
Blonde,51,2
Metro Boomin,51,2
Limp Bizkit,51,2
BØRNS,51,2
Edward Sharpe & The Magnetic Zeros,51,2
Bananarama,51,2
Razorlight,51,2
Encanto - Cast,51,2
Montell Jordan,50,2
The Black Keys,50,2
Village People,50,2
Wet Wet Wet,50,2
Pixie Lott,50,2
RANI,50,2
Wanz,50,2
Bobby Helms,50,2
José Feliciano,50,2
Slade,50,2
Wisin,50,2
Aitana,50,2
Rae Sremmurd,50,2
Clementine Douglas,50,2
Zoe Wees,50,2
Boyzone,50,2
Trey Songz,50,2
Kate Nash,50,2
En Vogue,50,2
Dakota,50,2
Summer Walker,50,2
Romeo Santos,50,2
Bishop Briggs,50,2
David Kushner,50,2
SAYGRACE,50,2
Massive Attack,50,2
Andrea Bocelli,50,2
Neon Trees,50,2
Ziv Zaifman,49,2
Yebba,49,2
Nas,49,2
Christina Milian,49,2
Ayra Starr,49,2
Sheppard,49,2
Thin Lizzy,49,2
4 Non Blondes,49,2
Louis Armstrong,49,2
Ella Mai,49,2
Royal Philharmonic Orchestra,49,2
Silk City,49,2
Young T & Bugsey,49,2
Bowling For Soup,49,2
Selena Gomez & The Scene,49,2
Nicky Romero,49,2
YG,49,2
The Cinematic Orchestra,49,2
The xx,49,2
Bazzi,49,2
BLACKPINK,49,2
Damien Rice,49,2
Lauren Spencer Smith,49,2
Azealia Banks,49,2
Tori Kelly,49,2
