artist_name,number_of_appearances,brand_id
Metronomy,57,1
JP Cooper,57,1
HAIM,57,1
Tory Lanez,57,1
Lil Yachty,57,1
Juice WRLD,57,1
Luis Miguel,57,1
Bradley Cooper,57,1
Led Zeppelin,56,1
Antônio Carlos Jobim,56,1
Chet Faker,56,1
Otis Redding,56,1
Maná,56,1
Chris Isaak,56,1
Iggy Azalea,56,1
Jessie Ware,56,1
Tracy Chapman,56,1
Summer Walker,56,1
Van Morrison,56,1
Martin Solveig,56,1
5 Seconds of Summer,56,1
Fifth Harmony,56,1
Juanes,56,1
Shania Twain,56,1
Olivia Newton-John,56,1
Lil' Kim,56,1
Disney,56,1
Amber Mark,55,1
CYRIL,55,1
Massive Attack,55,1
Yeah Yeah Yeahs,55,1
Seal,55,1
Snakehips,55,1
The Script,55,1
JID,55,1
Måneskin,55,1
Niall Horan,55,1
WALK THE MOON,55,1
Central Cee,55,1
James Hype,55,1
Creedence Clearwater Revival,55,1
A7S,55,1
Gracie Abrams,55,1
Cris Mj,55,1
Juan Magán,55,1
Poolside,54,1
Sister Sledge,54,1
Bonobo,54,1
NATHY PELUSO,54,1
Christina Perri,54,1
Four Tet,54,1
Disciples,54,1
Sean Kingston,54,1
Latto,54,1
Descemer Bueno,54,1
Funk Wav,54,1
Dolly Parton,54,1
Belinda,54,1
Lord Huron,54,1
Ofenbach,54,1
Chencho Corleone,54,1
ROSÉ,54,1
Lionel Richie,54,1
Natalie Imbruglia,54,1
The Doors,53,1
Majid Jordan,53,1
AlunaGeorge,53,1
Brenda Lee,53,1
Sinéad O'Connor,53,1
Romy,53,1
Robin Thicke,53,1
Janelle Monáe,53,1
Passenger,53,1
Capital Cities,53,1
Dean Lewis,53,1
Jack Johnson,53,1
Lily Allen,53,1
Aluna,53,1
Ayra Starr,53,1
Dimitri Vegas,53,1
Morat,53,1
Journey,53,1
De La Ghetto,53,1
The Clash,53,1
Lilly Wood and The Prick,52,1
Beach House,52,1
Jhené Aiko,52,1
Ace of Base,52,1
Jain,52,1
Nightcrawlers,52,1
Roxette,52,1
Angèle,52,1
Aqua,52,1
Cedric Gervais,52,1
No Doubt,51,1
Portishead,51,1
The Pussycat Dolls,51,1
ScHoolboy Q,51,1
Mac DeMarco,51,1
Maverick Sabre,51,1
Mazzy Star,51,1
Rampa,51,1
Estelle,51,1
blink-182,51,1
Corinne Bailey Rae,51,1
Sonny Fodera,51,1
Elvis Crespo,51,1
Eric Prydz,51,1
Mau y Ricky,51,1
Stefflon Don,51,1
Eric Clapton,51,1
Tammi Terrell,51,1
Sofía Reyes,51,1
Gloria Gaynor,50,1
João Gilberto,50,1
Everything But The Girl,50,1
The Ronettes,50,1
Colbie Caillat,50,1
Roosevelt,50,1
Simply Red,50,1
MAGIC!,50,1
Simple Minds,50,1
Nas,50,1
The Chemical Brothers,50,1
Coolio,50,1
Paramore,50,1
The Marías,50,1
Coi Leray,50,1
Dominic Fike,50,1
JENNIE,50,1
The Pointer Sisters,50,1
Stryv,50,1
Dom Dolla,50,1
Deepend,50,1
Willy William,50,1
Darell,50,1
Franz Ferdinand,50,1
Eagles,49,1
Fugees,49,1
Nora En Pure,49,1
Aloe Blacc,49,1
Ovy On The Drums,49,1
Roy Orbison,49,1
Dillon Francis,49,1
Flight Facilities,49,1
Foals,49,1
Bipolar Sunshine,49,1
FKJ,49,1
AURORA,49,1
Moloko,49,1
XXXTENTACION,49,1
Dermot Kennedy,49,1
Crystal Waters,49,1
Royal Philharmonic Orchestra,49,1
David Bisbal,49,1
The Offspring,49,1
&ME,49,1
Orso,49,1
Malachiii,49,1
SIDEPIECE,49,1
