subgenre_name,number_of_appearances,main_genre,brand_id
newgrass,50,13,1
melodic rap,50,5,1
meme rap,50,5,1
funkot,50,1,1
bhojpuri pop,50,2,1
dangdut,50,1,1
cumbia norteña,49,4,1
southern rock,48,3,1
huayno,48,4,1
gujarati garba,48,6,1
industrial rock,47,3,1
singeli,47,5,1
karadeniz folk,47,13,1
enka,46,6,1
heavy metal,46,9,1
neofolk,45,13,1
midwest emo,44,3,1
funk rock,43,3,1
traditional country,43,12,1
comedy,43,12,1
japanese classical,43,10,1
thai indie pop,43,2,1
grunge,42,3,1
texas country,42,12,1
folk punk,42,13,1
groove metal,42,9,1
country blues,41,15,1
latin afrobeat,41,4,1
indie pop,41,2,1
symphonic metal,41,9,1
tejano,41,4,1
pinoy rock,41,3,1
funk pop,40,2,1
boogie-woogie,40,15,1
emocore,40,3,1
arena rock,40,3,1
melodic death metal,40,9,1
phleng phuea chiwit,40,14,1
celtic rock,39,3,1
easy listening,39,11,1
polka,39,11,1
rage rap,39,5,1
gujarati pop,39,2,1
pagode baiano,38,4,1
pinoy alternative,38,3,1
nz reggae,37,8,1
power metal,37,9,1
rock and roll,36,3,1
electro,36,5,1
reggae rock,36,3,1
mexican ska,36,3,1
sandalwood,36,13,1
egyptian shaabi,36,6,1
southern thai music,36,6,1
alternative rock,35,3,1
bhojiwood,35,6,1
tecnobrega,34,12,1
hyphy,34,5,1
sea shanties,34,11,1
black metal,34,9,1
folk metal,33,9,1
thrash metal,33,9,1
grindcore,33,9,1
popular colombian music,32,2,1
smooth r&b,32,7,1
dark cabaret,31,13,1
emo pop,31,2,1
speed metal,31,9,1
psychobilly,30,3,1
bounce,29,5,1
acoustic country,29,12,1
sholawat,29,7,1
rap,28,5,1
smooth soul,28,7,1
maluku,28,6,1
honky tonk,27,3,1
punk rap,27,3,1
christian country,27,12,1
rap rock,27,3,1
alternative pop,27,2,1
sertanejo tradicional,27,12,1
malayalam hip hop,26,5,1
new york drill,26,5,1
aussie drill,26,7,1
acoustic rock,25,3,1
pop soul,23,7,1
nerdcore,23,5,1
electropop,23,2,1
budots,23,6,1
country hip hop,22,5,1
bubblegum pop,22,2,1
pop country,21,12,1
brooklyn drill,20,5,1
pirate metal,20,9,1
lagu timur,20,6,1
bisrock,19,3,1
soft pop,18,2,1
boogie,18,7,1
latin dance,17,2,1
modern rock,17,3,1
go-go,17,7,1
anime rap,17,5,1
japanese vgm,17,1,1
visual kei,15,2,1
medieval metal,15,9,1
acoustic folk,14,13,1
forro tradicional,14,4,1
punta,14,6,1
duranguense,14,4,1
norteño-sax,14,4,1
lagu jawa,14,6,1
pop rock,13,3,1
fújì,13,6,1
thai indie rock,12,3,1
pop,11,2,1
pop urbano,10,2,1
algerian chaabi,7,6,1
southern gospel,6,12,1
batak,5,14,1
pop r&b,5,7,1
dance pop,4,2,1
dance,3,1,1
punto guajiro,1,6,1
pop rap,1,5,1
latin afrobeats,1,4,1
