artist_name,number_of_appearances,brand_id
The Offspring,49,10
&ME,49,10
Orso,49,10
Malachiii,49,10
SIDEPIECE,49,10
Jarabe De Palo,49,10
Weezer,49,10
L'Impératrice,48,10
OMI,48,10
Ryan Castro,48,10
Thundercat,48,10
Neil Young,48,10
Sufjan Stevens,48,10
Zak Abel,48,10
MIKA,48,10
Róisín Murphy,48,10
bbno$,48,10
L.V.,48,10
Maren Morris,48,10
Kacey Musgraves,48,10
beabadoobee,48,10
Thalia,48,10
Dennis Lloyd,48,10
Emmit Fenn,48,10
Gipsy Kings,48,10
ACRAZE,48,10
A-Trak,48,10
Pearl Jam,48,10
Piso 21,48,10
Talking Heads,48,10
Surfaces,47,10
Matt Simons,47,10
Beéle,47,10
Nicki Nicole,47,10
NEIL FRANCES,47,10
Surf Mesa,47,10
Groove Armada,47,10
Electric Light Orchestra,47,10
CHIC,47,10
Dean Martin,47,10
Petit Biscuit,47,10
Parcels,47,10
Sixpence None The Richer,47,10
deadmau5,47,10
LISA,47,10
Stephen Sanchez,47,10
Conrad Sewell,47,10
London Symphony Orchestra,47,10
Tems,47,10
BENEE,47,10
Billy Idol,47,10
Pixies,47,10
Rick Astley,47,10
Lucenzo,47,10
Wisin & Yandel,47,10
Kate Bush,47,10
Survivor,46,10
Tony Bennett,46,10
Stan Getz,46,10
Hayden James,46,10
Timmy Trumpet,46,10
Lola Indigo,46,10
Astrud Gilberto,46,10
Craig David,46,10
Kah-Lo,46,10
Leona Lewis,46,10
Leonard Cohen,46,10
Naughty Boy,46,10
Panama,46,10
Little Dragon,46,10
Klangkarussell,46,10
Klingande,46,10
Alan Braxe,46,10
Erykah Badu,46,10
Brent Faiyaz,46,10
Hans Zimmer,46,10
Celeste,46,10
Ben Böhmer,46,10
Roddy Ricch,46,10
Ludovico Einaudi,46,10
Of Monsters and Men,46,10
Cherish,46,10
Nayer,46,10
Madison Beer,46,10
KC & The Sunshine Band,46,10
Conan Gray,46,10
The Smashing Pumpkins,46,10
Johann Sebastian Bach,45,10
Zerb,45,10
Two Door Cinema Club,45,10
alt-J,45,10
Raffaella Carrà,45,10
Emilia,45,10
Al Green,45,10
Masego,45,10
John Williams,45,10
BLOND:ISH,45,10
Armand Van Helden,45,10
Aya Nakamura,45,10
Father John Misty,45,10
A Boogie Wit da Hoodie,45,10
Pusha T,45,10
Ana Mena,45,10
Gigi D'Agostino,45,10
Gloria Estefan,45,10
LF SYSTEM,45,10
Offset,45,10
Alle Farben,45,10
Tom Jones,45,10
The Human League,45,10
Lola Young,45,10
Counting Crows,45,10
BIA,45,10
Ray Charles,44,10
Angus & Julia Stone,44,10
Chayanne,44,10
Nancy Sinatra,44,10
Faith Evans,44,10
Air,44,10
Yebba,44,10
Nu,44,10
Mufasa & Hypeman,44,10
Mufasa,44,10
Kodaline,44,10
KALEO,44,10
MAX,44,10
Majestic,44,10
MORTEN,44,10
Hombres G,44,10
Tokischa,44,10
Tommy Richman,44,10
HAYLA,44,10
d4vd,44,10
Aaron Smith,43,10
Dakota,43,10
José González,43,10
George Benson,43,10
Tom Misch,43,10
Wale,43,10
Modjo,43,10
Alina Baraz,43,10
Patrick Watson,43,10
Yo-Yo Ma,43,10
Nicky Romero,43,10
Irene Cara,43,10
6LACK,43,10
Sérgio Mendes,43,10
Taio Cruz,43,10
Tom Grennan,43,10
PinkPantheress,43,10
Bazzi,43,10
Two Feet,43,10
Mustard,43,10
Omar Montes,43,10
Andrés Calamaro,43,10
Village People,43,10
Arash,43,10
Mousse T.,43,10
Gala,43,10
Mora,43,10
Celia Cruz,43,10
Gesaffelstein,43,10
Sky Rompiendo,43,10
Lenny Tavárez,43,10
Barry White,43,10
Vampire Weekend,43,10
Guy-Manuel de Homem-Christo,43,10
Simon & Garfunkel,42,10
Lynyrd Skynyrd,42,10
Krono,42,10
Hardwell,42,10
Matoma,42,10
Obongjayar,42,10
Azealia Banks,42,10
YG,42,10
Enya,42,10
Andy Williams,42,10
Benjamin Diamond,42,10
Caribou,42,10
Arcade Fire,42,10
Mýa,42,10
LCD Soundsystem,42,10
Joe Cocker,42,10
BØRNS,42,10
Skylar Grey,42,10
Whethan,42,10
Phoebe Bridgers,42,10
24kGoldn,42,10
Fedde Le Grand,42,10
Silk Sonic,42,10
Jung Kook,42,10
Toni Braxton,42,10
Ben E. King,42,10
Carla Morrison,42,10
Jazzy,42,10
Haddaway,42,10
Dubdogz,42,10
Young Miko,42,10
Zion,42,10
Sasha Alex Sloan,42,10
Sheryl Crow,42,10
Cesária Evora,41,10
Caetano Veloso,41,10
Kid Francescoli,41,10
Luvli,41,10
Paul Simon,41,10
Fetty Wap,41,10
Hippie Sabotage,41,10
Culture Club,41,10
SAULT,41,10
Emeli Sandé,41,10
Kiesza,41,10
Joy Division,41,10
Little Simz,41,10
Kenny Loggins,41,10
Stardust,41,10
WhoMadeWho,41,10
Dopamine,41,10
LMFAO,41,10
Noah Cyrus,41,10
Lukas Graham,41,10
Alejandro Fernández,41,10
Corona,41,10
LP Giobbi,41,10
The Emotions,41,10
Melendi,41,10
Chris Stapleton,41,10
Crowded House,41,10
Carla Bruni,40,10
W&W,40,10
Roberta Flack,40,10
Mura Masa,40,10
Sara Bareilles,40,10
Pentatonix,40,10
Wolfgang Amadeus Mozart,40,10
TOKiMONSTA,40,10
Mumford & Sons,40,10
Route 94,40,10
Fat Joe,40,10
Cults,40,10
Men I Trust,40,10
Tinlicker,40,10
Dynoro,40,10
Oliver Tree,40,10
Edward Maya,40,10
Loud Luxury,40,10
Paloma Faith,40,10
TV Girl,40,10
Ice Spice,40,10
Nico & Vinz,40,10
Martin Jensen,40,10
Artemas,40,10
Jesse & Joy,40,10
José Feliciano,40,10
Soda Stereo,40,10
Rivo,40,10
Salif Keita,40,10
Kenya Grace,40,10
Laura Pausini,40,10
David Kushner,40,10
Bruno Martini,39,10
Francesco Yates,39,10
A Tribe Called Quest,39,10
Chicago,39,10
Yusuf / Cat Stevens,39,10
R. Kelly,39,10
Skepta,39,10
Tinie Tempah,39,10
Steve Angello,39,10
Oh Wonder,39,10
Yuna,39,10
LANY,39,10
Vince Staples,39,10
Arcane,39,10
Ruth B.,39,10
Alec Benjamin,39,10
ILLENIUM,39,10
Toploader,39,10
Kodak Black,39,10
Iggy Pop,39,10
Danna Paola,39,10
La Oreja de Van Gogh,39,10
Eliza Rose,39,10
Ludwig van Beethoven,39,10
LP,39,10
Calle 13,39,10
ATB,39,10
Julian Casablancas,39,10
Van Halen,38,10
Zaz,38,10
The Blaze,38,10
RAC,38,10
Hot Chip,38,10
D-Block Europe,38,10
Bad Gyal,38,10
Emilee,38,10
UB40,38,10
Curtis Mayfield,38,10
Keri Hilson,38,10
Gregory Porter,38,10
Ja Rule,38,10
Pretenders,38,10
Blood Orange,38,10
Rae Sremmurd,38,10
Cage The Elephant,38,10
Bryan Ferry,38,10
Gym Class Heroes,38,10
Jaymes Young,38,10
The Fray,38,10
Sandro Cavazza,38,10
Grey,38,10
Liam Payne,38,10
Logic,38,10
Trippie Redd,38,10
Snow,38,10
The Mamas & The Papas,38,10
PAWSA,38,10
Solomun,38,10
Robert Miles,38,10
Djo,38,10
ANOTR,38,10
Jay Wheeler,38,10
Carin Leon,38,10
Dalex,38,10
Lunay,38,10
fun.,38,10
BANKS,37,10
CHVRCHES,37,10
Carlos Baute,37,10
Charlotte Day Wilson,37,10
Sam Cooke,37,10
Ice Cube,37,10
FKA twigs,37,10
Plan B,37,10
Gavin James,37,10
Frédéric Chopin,37,10
Bob Moses,37,10
Salt-N-Pepa,37,10
Roxy Music,37,10
Myles Smith,37,10
Rosa Linn,37,10
MARINA,37,10
Olivia,37,10
Colby O'Donis,37,10
James Morrison,37,10
Axwell /\ Ingrosso,37,10
Clementine Douglas,37,10
Jeremy Zucker,37,10
D.O.D,37,10
Rvssian,37,10
Cannons,37,10
Carlos Rivera,37,10
Pabllo Vittar,37,10
Sofiya Nzau,37,10
Nio Garcia,37,10
Eros Ramazzotti,37,10
Duki,37,10
St. Vincent,37,10
Men At Work,37,10
Digital Farm Animals,36,10
Tiago PZK,36,10
The Temptations,36,10
Freshlyground,36,10
DJ Koze,36,10
Møme,36,10
Jean Tonique,36,10
Maribou State,36,10
Elizabeth Fraser,36,10
The Cinematic Orchestra,36,10
Feist,36,10
Laura Branigan,36,10
Smash Mouth,36,10
The Kooks,36,10
Meek Mill,36,10
Bakar,36,10
Chromatics,36,10
Mark Ambor,36,10
Imogen Heap,36,10
girl in red,36,10
League of Legends,36,10
CKay,36,10
kai,36,10
Hoobastank,36,10
Stormzy,36,10
Rich Brian,36,10
Lennon Stella,36,10
Omah Lay,36,10
Aminé,36,10
Kiiara,36,10
Fitz and The Tantrums,36,10
FAST BOY,36,10
Zendaya,36,10
Monolink,36,10
Los Ángeles Azules,36,10
Miguel Bosé,36,10
Claude Debussy,36,10
Daecolm,36,10
Cumbiafrica,36,10
Take That,36,10
Run–D.M.C.,36,10
Candi Staton,36,10
Noah Kahan,36,10
4 Non Blondes,35,10
DRAMA,35,10
Jamie Foxx,35,10
The Avener,35,10
cassö,35,10
Abraham Mateo,35,10
LL COOL J,35,10
Johnny Cash,35,10
CeeLo Green,35,10
Franc Moody,35,10
Paolo Nutini,35,10
Ashanti,35,10
Toro y Moi,35,10
Darius,35,10
Beastie Boys,35,10
Tensnake,35,10
Sage The Gemini,35,10
Peter Bjorn and John,35,10
Jack Ü,35,10
Foreigner,35,10
Brandy,35,10
Nick Jonas,35,10
Will Heard,35,10
Christine and the Queens,35,10
Kavinsky,35,10
Andy Grammer,35,10
HVME,35,10
blackbear,35,10
Nickelback,35,10
Gnarls Barkley,35,10
GoonRock,35,10
Axwell,35,10
Victoria Monét,35,10
Chromeo,35,10
Doechii,35,10
James Carter,35,10
Kid Ink,35,10
Olly Murs,35,10
Like Mike,35,10
Peggy Lee,35,10
Matt Sassari,35,10
Loreen,35,10
Katrina & The Waves,35,10
Édith Piaf,35,10
Lalo Ebratt,35,10
Stevie Nicks,35,10
Master KG,35,10
Scorpions,35,10
Los Del Rio,35,10
Stevie Appleton,35,10
Mau P,35,10
Robin S,35,10
Technotronic,35,10
Tom Walker,35,10
A$AP Ferg,35,10
Rozalén,35,10
Alvaro Soler,35,10
Christian Nodal,35,10
Jennifer Hudson,35,10
FloyyMenor,35,10
Count Basie,35,10
Lou Reed,35,10
Chet Baker,34,10
Popcaan,34,10
Snoh Aalegra,34,10
Black Sabbath,34,10
Rex Orange County,34,10
Redman,34,10
Jowell & Randy,34,10
Ñengo Flow,34,10
Owl City,34,10
Pyotr Ilyich Tchaikovsky,34,10
Tori Kelly,34,10
Kenny Dope,34,10
112,34,10
Gus Dapperton,34,10
A.R. Rahman,34,10
Vika Jigulina,34,10
Adam Lambert,34,10
Mark Knight,34,10
The Bangles,34,10
Tujamo,34,10
RHODES,34,10
Parson James,34,10
Lily-Rose Depp,34,10
Paulina Rubio,34,10
Julio Iglesias,34,10
Paulo Londra,34,10
John Travolta,34,10
Bonnie Tyler,34,10
Rels B,34,10
America,34,10
Faithless,34,10
Jet,34,10
BUNT.,34,10
Julia Church,34,10
Molella,34,10
Greeicy,34,10
Mon Laferte,34,10
Ximena Sariñana,34,10
Florida Georgia Line,34,10
DMX,34,10
CNCO,34,10
Various Artists,33,10
The Game,33,10
Jamie Cullum,33,10
Estopa,33,10
Guaynaa,33,10
zzoilo,33,10
Eladio Carrion,33,10
James Brown,33,10
KISS,33,10
Mina,33,10
Françoise Hardy,33,10
NAV,33,10
The Vamps,33,10
Kings of Convenience,33,10
Alabama Shakes,33,10
The Japanese House,33,10
Luther Vandross,33,10
Biig Piig,33,10
Carly Simon,33,10
Em Beihold,33,10
Laufey,33,10
WEISS,33,10
Silk City,33,10
Sophie and the Giants,33,10
Astrid S,33,10
mgk,33,10
gnash,33,10
Olivia O'Brien,33,10
Glee Cast,33,10
Modern Talking,33,10
Supertramp,33,10
Trinix,33,10
Starship,33,10
New Radicals,33,10
Travis,33,10
Phil Jay,33,10
Disturbed,33,10
Evaluna Montaner,33,10
Joaquín Sabina,33,10
Nate Ruess,33,10
Grupo Frontera,33,10
Baby Keem,33,10
Neil Diamond,33,10
Billy Ocean,33,10
Billy Ray Cyrus,33,10
SNAP!,33,10
Dove Cameron,33,10
George Harrison,32,10
Israel Kamakawiwo'ole,32,10
Yuksek,32,10
Ultra Naté,32,10
Todd Terry,32,10
